151,01/30/88,11/05/92,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","committee"
182,01/17/98,11/25/02,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
183,01/15/98,06/12/99,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
184,06/17/99,06/15/00,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
185,06/20/00,06/19/01,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
186,06/24/01,11/25/02,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
152,01/30/88,11/05/92,"SO","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","committee"
153,01/30/88,11/05/92,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
191,01/17/98,01/25/02,"RIE","Regional Integration Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
155,01/30/88,11/05/92,"FIE","Foreign Investment Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
193,02/05/00,11/25/02,"HESE","Higher Education System Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
194,01/05/03,,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","committee"
195,01/05/03,,"SO","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","committee"
196,01/05/03,,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
197,01/05/03,,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","committee"
198,01/21/03,06/09/04,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
199,06/14/04,06/13/05,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
200,06/18/05,06/17/06,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
201,06/22/06,,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","committee"
202,01/21/03,06/09/04,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
203,06/14/04,06/13/05,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
204,06/18/05,06/17/06,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
205,06/22/06,,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","committee"
206,01/05/03,,"GMCE","Genetically Modified Crop Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
207,01/05/03,02/03/07,"TME","Traditional Medicine Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
208,01/21/07,,"FEE","Freedom of Expression Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
209,01/21/07,,"GWE","Global Warming Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","committee"
