153,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","draft",01/30/88,11/05/92,"committee",6,"en"
154,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","draft",01/30/88,11/05/92,"committee",6,"en"
155,"FIE","Foreign Investment Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",01/30/88,11/05/92,"committee",6,"en"
156,"DE","Deforestation Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",01/30/88,11/05/92,"committee",6,"en"
157,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",01/30/88,06/05/89,"committee",6,"en"
158,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/25/89,06/09/90,"committee",6,"en"
159,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/15/90,06/15/91,"committee",6,"en"
160,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/12/91,11/05/92,"committee",6,"en"
161,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",01/30/88,06/05/89,"committee",6,"en"
162,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/25/89,06/09/90,"committee",6,"en"
163,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/15/90,06/15/91,"committee",6,"en"
164,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/12/91,11/05/92,"committee",6,"en"
165,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","draft",02/10/93,12/03/97,"committee",7,"en"
166,"SO","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","draft",02/10/93,12/03/97,"committee",7,"en"
167,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","draft",02/10/93,12/03/97,"committee",7,"en"
168,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","draft",02/03/93,12/03/97,"committee",7,"en"
169,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",02/09/93,06/05/94,"committee",7,"en"
170,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/10/94,06/09/95,"committee",7,"en"
171,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/14/95,06/12/96,"committee",7,"en"
172,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/17/96,12/03/97,"committee",7,"en"
173,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",02/09/93,06/05/94,"committee",7,"en"
174,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/10/94,06/09/95,"committee",7,"en"
175,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/14/95,06/12/96,"committee",7,"en"
176,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/17/96,12/03/97,"committee",7,"en"
177,"FIE","Foreign Investment Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",02/10/93,12/03/97,"committee",7,"en"
178,"GWE","Global Warming Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",02/03/93,12/03/97,"committee",7,"en"
179,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","draft",01/17/98,11/25/02,"committee",8,"en"
180,"House Keeping","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","draft",01/30/88,11/25/02,"committee",8,"en"
181,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","draft",01/17/98,11/25/02,"committee",8,"en"
182,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","draft",01/17/98,11/25/02,"committee",8,"en"
183,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",01/15/98,06/12/99,"committee",8,"en"
184,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/17/99,06/15/00,"committee",8,"en"
185,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/20/00,06/19/01,"committee",8,"en"
186,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/24/01,11/25/02,"committee",8,"en"
187,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",01/15/98,06/12/99,"committee",8,"en"
188,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/17/99,06/15/00,"committee",8,"en"
189,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/20/00,06/19/01,"committee",8,"en"
190,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/24/01,11/25/02,"committee",8,"en"
191,"RIE","Regional Integration Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",01/17/98,01/25/02,"committee",8,"en"
192,"EFE","Ethnic Fighting Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",01/17/98,11/25/02,"committee",8,"en"
193,"HESE","Higher Education System Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",02/05/00,11/25/02,"committee",8,"en"
194,"HB","House Business Committee","It is responsible for identifying and scheduling the business to be debated by the House in each sitting","active",01/05/03,,"committee",9,"en"
195,"SO","Standing Orders Committee","It Reviews Standing Orders by compiling a report containing recommendations on which standing order is to be reviwed and who to be reviewed. The report is then debated by the House in form of a motion.","active",01/05/03,,"committee",9,"en"
196,"ALNR","Agriculture, Lands and Natural Resources Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","active",01/05/03,,"committee",9,"en"
197,"ECPW","Energy, Communications and Public Works Committee","Departmental committees can conduct an inquiry over any matter that falls within their portfolio and submit their report to the House","active",01/05/03,,"committee",9,"en"
198,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",01/21/03,06/09/04,"committee",9,"en"
199,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/14/04,06/13/05,"committee",9,"en"
200,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","draft",06/18/05,06/17/06,"committee",9,"en"
201,"PA","Public Accounts Committee","It investigates the annual expenditure of all government ministries in a financial year.","active",06/22/06,,"committee",9,"en"
202,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",01/21/03,06/09/04,"committee",9,"en"
203,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/14/04,06/13/05,"committee",9,"en"
204,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/18/05,06/17/06,"committee",9,"en"
205,"PI","Public Investments Committees","It investigates the annual expenditure of a sample group of parastatals in a financial year.","draft",06/22/06,,"committee",9,"en"
206,"GMCE","Genetically Modified Crop Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","active",01/05/03,,"committee",9,"en"
207,"TME","Traditional Medicine Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",01/05/03,02/03/07,"committee",9,"en"
208,"FEE","Freedom of Expression Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",01/21/07,,"committee",9,"en"
209,"GWE","Global Warming Enquiry Committee","An Ad hoc committee is formed when a motion to inquire into a specifi matter is passes by the National Assembly","draft",01/21/07,,"committee",9,"en"
611,"Centre",,,"draft",01/23/88,05/11/92,"political-party",6,"en"
612,"Left",,,"draft",01/23/88,05/11/92,"political-party",6,"en"
613,"Right",,,"draft",01/23/88,05/11/92,"political-party",6,"en"
614,"Progressive",,,"draft",01/23/88,05/11/92,"political-party",6,"en"
615,"Conservative",,,"draft",01/23/88,05/11/92,"political-party",6,"en"
616,"Liberal",,,"draft",01/23/88,05/11/92,"political-party",6,"en"
712,"Left",,,"draft",03/02/93,03/12/97,"political-party",7,"en"
713,"Right",,,"draft",03/02/93,03/12/97,"political-party",7,"en"
714,"Progressive",,,"draft",03/02/93,03/12/97,"political-party",7,"en"
715,"Conservative",,,"draft",03/02/93,03/12/97,"political-party",7,"en"
716,"Liberal",,,"draft",03/02/93,03/12/97,"political-party",7,"en"
717,"New Centre",,,"draft",03/02/93,03/12/97,"political-party",7,"en"
718,"Freedom",,,"draft",03/02/93,03/12/97,"political-party",7,"en"
719,"Democratic",,,"draft",05/11/95,03/12/97,"political-party",7,"en"
720,"Civic",,,"draft",06/25/96,03/12/97,"political-party",7,"en"
812,"Left",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
813,"Right",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
814,"Progressive",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
815,"Conservative",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
816,"Liberal",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
817,"New Centre",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
818,"Freedom",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
819,"Democratic",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
820,"Civic",,,"draft",09/01/98,11/25/02,"political-party",8,"en"
821,"Social",,,"draft",11/11/99,11/25/02,"political-party",8,"en"
822,"Green",,,"draft",04/12/99,11/25/02,"political-party",8,"en"
914,"Progressive",,,"draft",05/01/03,,"political-party",9,"en"
915,"Conservative",,,"draft",05/01/03,,"political-party",9,"en"
916,"Liberal",,,"draft",05/01/03,,"political-party",9,"en"
917,"New Centre",,,"draft",05/01/03,,"political-party",9,"en"
918,"Freedom",,,"draft",05/01/03,,"political-party",9,"en"
919,"Democratic",,,"draft",05/01/03,,"political-party",9,"en"
920,"Civic",,,"draft",05/01/03,,"political-party",9,"en"
921,"Social",,,"draft",05/01/03,,"political-party",9,"en"
923,"Ecological",,,"draft",05/01/03,,"political-party",9,"en"
